ID,Category,Severity,Priority,Confidence,File,Line,Evidence,Impact,Reproduction,Recommendation,Verification,Effort,Risk,Dependencies
ENV-001,Environment,High,P1,High,pyproject.toml; build_uv.sh,pyproject.toml:8-18; build_uv.sh:8-28,"Project metadata requires exactly Python 3.10.19 and leaves runtime dependencies unpinned; the audited venv is Python 3.12.14, while system Python is 3.14.6. The Linux-oriented build script removes venv with rm -rf and calls venv/bin/pip.","A clean developer or CI environment can resolve a different dependency graph or fail before running experiments; the passing local baseline is not the declared environment.","Compare pyproject.toml and build_uv.sh with the recorded environment in test_baseline.md; attempt a clean Windows setup without translating shell paths.","Choose a supported Python policy, pin or lock runtime dependencies, add a Windows-compatible setup path, and record the resolved lock/config in every run.","Clean-install on each supported OS/Python version; run unit tests and one fixture experiment; assert recorded Python/package versions match the environment.",M,2,"Decide support matrix before CI implementation; no model/data change required."
TEST-001,Testing/CI,High,P1,High,.github; tests; pyproject.toml,repository root: no .github directory; tests/: 28 unittest cases; pyproject.toml:5-43,"No push-time CI, coverage gate, lint or type-check configuration exists. Current tests concentrate on formal_data, openset, geometry and exp6; Web, exp1-3, direct data loading and security boundaries have no automated coverage.","Regressions in CLI orchestration, Web controls, schema handling or historical experiments can reach the branch while the 28-test suite remains green.","Run python -m unittest discover -s tests -v (28 pass), inspect repository for .github/ and tool configuration, and compare modules with the test inventory.","Add a small CI matrix and high-risk contract tests before broad refactoring; fail the workflow on test/lint/type errors and publish a bounded coverage report.","CI must run on push/PR; fixture tests must cover loader schema, matrix resume/failure, Web protocol/origin, exp1-3 metadata; intentionally failing test must fail CI.",M,2,"Requires environment policy from ENV-001 and small deterministic fixtures."
EXP-002,Experiment Reliability,High,P1,High,experiments/exp6_matrix.py,77-100; 137-204,"_is_complete() accepts a completed summary after checking status, method, seed, condition and fingerprint, but does not require the referenced results.csv and run.log to exist or validate the CSV schema. A deleted or truncated artifact can therefore be treated as resumable completion.","A resumed 54-run matrix can report complete while its audit evidence is incomplete; later aggregation or paper review may lack the row-level CSV/log without the matrix noticing.","Run a fixture matrix, delete one run's results.csv or run.log while leaving summary.json intact, then call run_matrix(..., resume=True) and observe that the run is resumed.","Make completion validation require summary.json, results.csv, run.log, matching run_id/condition/fingerprint and the expected results schema; mark stale runs incomplete and rerun them.","Unit test each missing/corrupt artifact and a valid resume; assert aggregate refuses incomplete evidence and the manifest counts the rerun.",M,2,"Must preserve the existing atomic write/resume contract and formal result schema."
DATA-001,Data Reliability,High,P1,High,core/data.py,54-88,"discover_datasets() only requires any nested *_Group_feature_data_clean.csv, and load_pools() silently skips config directories without a matching file. It selects numeric columns rather than validating the declared FEATURE_NAMES order, then only checks 105 numeric columns and health presence.","A partial dataset, missing fault class, extra metadata column, or column-order drift can pass discovery and change the experiment population or feature meaning without a fail-fast error.","Copy a formal condition to a fixture, remove one config CSV or rename/reorder columns, then call discover_datasets()/load_pools(); discovery still succeeds or numeric selection hides the schema change unless the final dimension changes.","Add a formal schema validator: exact 9 conditions, expected CONFIGS, one file per class, exact FEATURE_NAMES/order/dtype, finite rows, non-empty classes, duplicate condition rejection, and an explicit strict mode used by exp6.","Fixture tests must fail on each missing class, duplicate condition, renamed/reordered column, extra numeric column and empty class; a valid formal fixture must still load 9×10 classes.",L,3,"Coordinate with formal manifest contract and keep a compatibility mode only where legacy data is intentionally supported."
DATA-002,Data Reliability,Medium,P1,Medium,core/formal_data.py; reports/ancester_openset_exp6_progress.md,formal_data.py:337-353; progress report:163,"Stage-2 conversion computes n_windows=min(widths.values()) and truncates every channel to that width. The raw-data audit records channel widths varying from 568 to 600, so this is an implicit alignment policy rather than a validated equality check.","A shortened or malformed channel can silently discard windows from other channels; the resulting 105-D features remain numerically valid while their provenance and sample alignment change.","Use a fixture archive with unequal channel widths and run _convert_condition/materialize; conversion succeeds and records no truncation count or warning.","Choose and document an explicit policy (fail on mismatch, or record deterministic truncation with per-channel widths); put widths/truncation in the manifest and test the policy.","Archive fixture tests assert the chosen policy, manifest records original widths, and existing formal fingerprint/result checks remain unchanged for the verified source.",M,3,"Requires decision from data owners because changing fail/truncate policy can alter materialized rows."
DATA-003,Reproducibility,Medium,P1,Medium,experiments/exp6_osr_benchmark.py,59-83,"dataset_fingerprint() hashes manifest content when present, but its fallback records only relative path, file size and st_mtime_ns. Two different files with the same size and timestamp can receive the same fingerprint.","If a manifest is absent or stale, a run can be associated with the wrong bytes and still appear reproducible; this weakens paper-result provenance.","Remove/rename formal_materialization_manifest.json and create two same-size files with controlled equal mtimes; dataset_fingerprint() returns the same digest for different content.","Use content SHA-256 for every fallback CSV (or fail when the manifest is absent in formal mode); record the fingerprint strategy in the result schema.","Regression test different same-size/same-mtime contents and verify fingerprints differ; formal mode must either use manifest or emit a clear failure.",M,2,"Do not rehash the existing 54-run results; only change future fingerprint generation after schema versioning."
DATA-004,Data Protection,Low,P2,High,core/formal_data.py,433-479,"materialize() writes source_root and output_root as absolute local paths into formal_materialization_manifest.json; the current manifest exposes a D: source path and a user-specific output path.","Sharing the manifest leaks workstation layout and makes the artifact non-portable across collaborators; it can also expose project naming information in published evidence.","Open data/formal_local/formal_materialization_manifest.json after materialization and inspect source_root/output_root.","Store portable labels plus hashes in the shared manifest; keep absolute provenance in an ignored local sidecar or redact it at export time.","Materialize a fixture and assert the committed/exported manifest has no user-specific absolute path while the local provenance sidecar remains available.",S,1,"Coordinate with existing reports that intentionally document local provenance; no raw data or result change should be made in this fix."
SEC-003,Security,High,P1,Medium,core/formal_data.py,314-377,"Stage-1/3 members pass _safe_relative_member(), but _convert_condition() derives config from arbitrary nested archive member parts and interpolates it into output_root/Step-2/myfeature/... without validating config or containment.","A malicious or malformed Stage-2 archive could write outside the intended output root through a config such as '..' or a platform-specific path component; current trusted archives do not prove the parser is safe for future inputs.","Build a small nested ZIP fixture whose Stage-2 CSV member has a traversal-like config directory and call materialize(); inspect the resolved output path.","Validate motor/rpm/config against CONFIGS and assert the resolved output remains under output_root before writing; add a malicious archive regression test.","Traversal fixture must raise FormalDataError and create no outside file; all verified formal archives must still materialize to the same manifest fingerprint.",S,2,"Requires preserving the existing source/output containment rule and archive member naming contract."
REPRO-001,Reproducibility,High,P1,High,experiments/exp1_cold_start.py; experiments/exp2_scale_growth.py; experiments/exp3_trend.py,"exp1:74-90,140-145; exp2:260-303; exp3:159-168","Historical exp1/2/3 summaries save dataset motor/rpm, seed, method and metrics, but do not save dataset fingerprint, commit SHA, Python/package versions, hardware, resolved config or run schema version. Existing summaries under output/ confirm the reduced key sets.","Earlier headline numbers cannot be tied to exact data bytes, source revision or environment as strongly as exp6; reruns can disagree without a clear provenance diff.","Inspect keys of output/exp1_cold_start/*/summary.json, output/exp2_scale_growth/*/summary.json and output/exp3_trend/*/summary.json; none has the full exp6 provenance contract.","Introduce a shared run metadata builder and versioned summary schema for exp1-3, preserving current metrics while adding fingerprint, commit, environment, resolved CLI and hardware fields.","Fixture runs assert metadata fields and stable schema version; rerun one historical experiment and compare metrics before/after metadata-only change.",M,2,"Requires resolving ENV-001 and choosing portable versus private path fields."
ARCH-001,Architecture,Medium,P1,High,core/runner.py; experiments/exp6_osr_benchmark.py; experiments/exp1_cold_start.py,runner.py:18-48; exp6_osr_benchmark.py:291-320; exp1_cold_start.py:120-146,"Common exp1-3/Web argument helpers exist in core.runner, but formal exp6 has a separate parser and each experiment emits a different summary shape. There is no single resolved-config/result-schema object covering dataset fingerprint, split, method, environment and output paths.","Adding a new detector option or changing a default can update one CLI/output path but not another; downstream reports must special-case each experiment and provenance drift is easy.","Compare add_openset_args() with exp6 main() and inspect existing exp1/2/3 versus exp6 summary keys; the code paths are visibly separate.","Introduce a small typed experiment config and shared run-metadata/result-schema helper; keep detector construction in core.openset and migrate one experiment at a time.","Schema contract tests parse all experiment summaries, assert canonical method/defaults and reject missing resolved config; CLI help and existing metrics remain unchanged.",L,3,"Do after ENV-001 and REPRO-001 decisions; do not combine with detector or feature changes."
